N_CTX,Triton [FP16],Triton [FP8]
1024.000000,96.949426,161.698945
2048.000000,101.625732,172.841091
4096.000000,103.225968,174.132367
8192.000000,104.828729,175.152998
16384.000000,105.469916,166.554215
