N_CTX,Triton [FP16],Triton [FP8]
1024.000000,73.420017,127.445355
2048.000000,86.264706,152.083341
4096.000000,92.553393,147.695961
8192.000000,83.760580,160.150686
16384.000000,91.093798,166.896526
