N_CTX,Triton [FP16],Triton [FP8]
1024.000000,95.349807,164.604305
2048.000000,102.092853,173.148887
4096.000000,100.483263,173.891143
8192.000000,100.822827,172.849432
16384.000000,101.334641,174.138795
