N_CTX,Triton [FP16],Triton [FP8]
1024.000000,45.918817,49.778065
2048.000000,63.754439,63.764971
4096.000000,73.844498,74.867813
8192.000000,81.981294,81.834933
16384.000000,85.879424,85.334771
