N_CTX,Triton [FP16],Triton [FP8]
1024.000000,68.671328,117.992859
2048.000000,80.347462,152.526224
4096.000000,92.493410,164.621025
8192.000000,95.660249,170.908656
16384.000000,96.540116,171.193804
